komentar,emosi,sentimen
"Menurut gw, kebetulan nongol terus di FYP, curious ama pendapat lain",netral
"Gak masuk akal sih, kalo rakyat kecil, pasti udah ditangkap tuh, tetap waspada guys 💪",negatif
"Gue gak habis pikir, itu debt collector udah kayak preman, lagi rame nih",negatif
"Asli serem, masih nunggu penjelasan dari pihak berwenang, cuma share aja",netral
"Menurut gw, masa kejadian kayak gitu ga ditindak?, sekian aja sih",negatif
"Asli parah, semoga korban dapet keadilan 🙏, santai aja bacanya",positif
"Asli parah, fungsi polisi buat apa kalo gini?, gak ada maksud jelek",negatif
"Gue setuju sih, pengen tau ending-nya gimana nanti, curious ama pendapat lain",netral
"Gak masuk akal sih, respect sama orang yang rekam dan sebarin videonya, semoga bermanfaat",positif
"Nyata banget ini, itu debt collector udah kayak preman, setuju gak?",negatif
"Lo pernah liat video itu gak, kok bisa kejadian di depan mapolri?, peace all ✌️",negatif
"Asli parah, semoga korban dapet bantuan hukum, peace all ✌️",positif
"Miris banget, parahnya bukan main, udah jatuh ditimpa kamera polisi, setuju gak?",negatif
"Serius deh, fungsi polisi buat apa kalo gini?, santai aja bacanya",negatif
"Fix banget, semoga korban dapet keadilan 🙏, sekian aja sih",positif
"Gak masuk akal sih, kok bisa diem aja sih? 😤, sekian aja sih",negatif
"Baru ngeh deh, penting banget edukasi hukum ke masyarakat, lagi rame nih",positif
"Fix banget, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, penasaran ama opini kalian",netral
"Asli parah, semoga Polri mau introspeksi, peace all ✌️",positif
"Lo pernah liat video itu gak, kita harus bareng-bareng jaga keadilan, sekilas pikiran aja",positif
"Gue baru kepikiran, tugas polisi bukan jadi kameramen, santai aja bacanya",negatif
"Gokil sih, tugas polisi bukan jadi kameramen, ini opini pribadi",negatif
"Fix banget, belum tau latar belakangnya, apa pendapat kalian?",netral
"Ini mah keterlaluan, debt collector liar makin berani karena dibiarin, penasaran ama opini kalian",negatif
"Btw guys, lumayan viral nih kasusnya, semoga bermanfaat",netral
"Lo pernah liat video itu gak, ga tau harus bela siapa dulu, any thoughts?",netral
"Gue baru kepikiran, semoga Polri mau introspeksi, semoga bermanfaat",positif
"Serius deh, masih coba cerna kenapa gak ada yang bantu, sekilas pikiran aja",netral
"Gue setuju sih, jangan sampe kejadian kayak gini keulang lagi, sekilas pikiran aja",positif
"Lo pernah liat video itu gak, semoga korban dapet bantuan hukum, apa pendapat kalian?",positif
"Lo pernah liat video itu gak, bingung ama kronologinya, peace all ✌️",netral
"Gokil sih, pro kontra banget sih ini, gimana menurut lo?",netral
"Gue baru kepikiran, jangan sampe kejadian kayak gini keulang lagi, peace all ✌️",positif
"Miris banget, pengen tau ending-nya gimana nanti, let’s discuss",netral
"Serius deh, semoga ini jadi titik balik perubahan, semoga bermanfaat",positif
"Miris banget, itu debt collector udah kayak preman, gak ada maksud jelek",negatif
"Fix banget, kok bisa diem aja sih? 😤, semoga bermanfaat",negatif
"Sadar gak sih, malu banget ama instansi yang harusnya melindungi, let’s discuss",negatif
"Gokil sih, semoga pelaku dan pembiar dihukum adil, setuju gak?",positif
"Lo pernah liat video itu gak, kok bisa kejadian di depan mapolri?, gak ada maksud jelek",negatif
"Baru ngeh deh, jangan-jangan udah biasa diem aja?, curious ama pendapat lain",negatif
"Gue gak habis pikir, belum jelas juga siapa yang bener, lagi rame nih",netral
"Lo pernah liat video itu gak, viral kayak gini penting biar dibuka matanya, gak ada maksud jelek",positif
"Btw guys, kita harus bareng-bareng jaga keadilan, no hate ya",positif
"Nyata banget ini, bingung ama kronologinya, any thoughts?",netral
"Btw guys, liat-liat dulu aja deh, apa pendapat kalian?",netral
"Ini mah keterlaluan, akhirnya banyak yang buka suara soal ini 👏, ini opini pribadi",positif
"Lo pernah liat video itu gak, bingung ama kronologinya, setuju gak?",netral
"Gue setuju sih, semoga korban dapet bantuan hukum, setuju gak?",positif
"Nyata banget ini, viral kayak gini penting biar dibuka matanya, apa pendapat kalian?",positif
"Gue setuju sih, ini kalo gak viral, bakalan hilang gitu aja, sekian aja sih",negatif
"Lo pernah liat video itu gak, belum ngerti konteks lengkapnya, lagi rame nih",netral
"Lo pernah liat video itu gak, kebetulan nongol terus di FYP, sekian aja sih",netral
"Nyata banget ini, semoga korban dapet bantuan hukum, cmiiw ya",positif
"Menurut gw, mudah-mudahan jadi pelajaran buat semuanya, lagi rame nih",positif
"Gak masuk akal sih, ini bukan cuma salah pelaku, yang diem juga bersalah, ini opini pribadi",negatif
"Menurut gw, liat-liat dulu aja deh, let’s discuss",netral
"Btw guys, kok bisa kejadian di depan mapolri?, cuma share aja",negatif
"Gokil sih, semoga pelaku dihukum setimpal, setuju gak?",positif
"Kocak tapi miris, parahnya bukan main, udah jatuh ditimpa kamera polisi, cmiiw ya",negatif
"Gue setuju sih, pengen tau ending-nya gimana nanti, sekilas pikiran aja",netral
"Nyata banget ini, penasaran sama klarifikasi dari pihak polisi, any thoughts?",netral
"Gokil sih, bener-bener kehilangan rasa aman sih, penasaran ama opini kalian",negatif
"Gue setuju sih, jangan-jangan udah biasa diem aja?, any thoughts?",negatif
"Nyata banget ini, doain korban kuat dan sehat terus, lagi rame nih",positif
